word_class,english,article,german,past_tense,perfect_tense,plural
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
conjunction,and,-,und,-,-,-
conjunction,but,-,aber,-,-,-
conjunction,because,-,weil,-,-,-
conjunction,or,-,oder,-,-,-
conjunction,although,-,obwohl,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
interjection,oh!,-,oh!,-,-,-
interjection,wow!,-,wow!,-,-,-
interjection,hey!,-,hey!,-,-,-
interjection,ouch!,-,aua!,-,-,-
interjection,bravo!,-,bravo!,-,-,-
